,JockeyName,No_1st,No_2nd,No_3rd,No_4th,No_5th,TotalRides,TotalStakes
0,莫雷拉,119,79,56,64,65,574,"$163,885,690"
1,潘頓,112,80,77,51,48,538,"$156,013,290"
2,田泰安,64,73,61,61,58,567,"$128,420,725"
3,蔡明紹,44,45,44,52,45,514,"$72,970,550"
4,巴度,39,44,47,49,53,486,"$98,145,310"
5,何澤堯,38,52,43,43,43,491,"$98,185,360"
6,薛恩,36,39,39,30,37,369,"$85,504,500"
7,梁家俊,35,30,43,39,42,487,"$56,294,300"
8,潘明輝,27,35,34,41,38,491,"$47,504,550"
9,周俊樂,27,33,27,37,35,389,"$42,045,200"
10,馬雅,22,12,22,16,25,265,"$23,293,350"
11,班德禮,21,26,35,24,37,388,"$31,382,800"
12,波健士,18,24,20,44,30,387,"$35,957,000"
13,希威森,18,17,21,19,19,240,"$20,595,830"
14,陳嘉熙,15,10,12,17,16,207,"$16,600,800"
15,賀銘年,14,17,29,27,28,375,"$25,990,750"
16,霍宏聲,12,21,26,21,15,318,"$23,291,050"
17,楊明綸,10,18,18,20,21,313,"$17,506,150"
18,巫顯東,7,6,3,10,7,221,"$6,560,600"
19,嘉里,3,3,4,3,6,65,"$4,521,550"
20,黃俊,2,4,6,4,6,110,"$4,201,825"
21,黎海榮,1,5,4,6,2,122,"$2,982,250"
22,黃皓楠,0,2,4,1,6,89,"$1,521,700"
25,史卓豐,3,7,5,2,4,70,"$5,417,400"
26,莫丹尼,2,3,3,4,3,95,"$3,042,300"
27,麥道朗,1,1,0,0,1,8,"$1,329,980"
28,馬昆,1,0,1,1,0,9,"$2,601,910"
29,巴米高,1,0,1,0,0,5,"$1,193,480"
30,杜苑欣,1,0,0,0,1,4,"$777,300"
31,川田將雅,1,0,0,0,0,7,"$17,100,000"
32,蘇銘倫,0,2,2,0,1,7,"$9,263,950"
33,彭國年,0,2,2,0,1,19,"$988,350"
34,莫雅,0,1,3,2,1,13,"$4,142,280"
35,戴馬田,0,1,0,0,0,1,"$4,400,000"
36,連達文,0,0,1,3,0,10,"$3,411,920"
37,萬寧,0,0,0,0,0,1,$0
38,福永祐一,0,0,0,0,0,1,$0
